ID,rawmaterial,Date,Time,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
QTZ3-6,quartzite,09/06/2021,14:27:34,876,901,913,939,936,903,873,888,879,907
QTZ3-5,quartzite,09/06/2021,14:22:10,919,872,850,891,929,908,915,898,894,917
QTZ3-4,quartzite,09/06/2021,14:18:29,913,862,910,810,891,871,917,889,930,901
QTZ3-3,quartzite,09/06/2021,14:15:35,822,810,843,735,838,810,856,899,879,835
QTZ3-2,quartzite,09/06/2021,14:12:22,863,918,929,889,919,894,911,900,935,919
QTZ3-1,quartzite,09/06/2021,14:05:18,910,890,895,855,899,877,866,896,855,890
OBS4-6,obsidian,09/06/2021,13:59:22,927,940,959,957,948,962,960,960,954,951
OBS4-5,obsidian,09/06/2021,13:51:50,969,960,953,964,967,953,962,961,956,953
OBS4-4,obsidian,09/06/2021,13:48:41,966,965,970,969,969,961,966,959,968,964
OBS4-3,obsidian,09/06/2021,13:43:07,957,949,958,958,954,960,967,957,959,964
OBS4-2,obsidian,09/06/2021,13:38:59,940,929,931,931,944,905,893,937,936,943
OBS4-1,obsidian,09/06/2021,13:33:40,949,959,957,943,904,952,959,957,959,961
FLT10-6,flint,09/06/2021,12:22:13,954,950,949,904,920,955,958,954,961,949
FLT10-5,flint,09/06/2021,12:18:19,963,956,900,922,914,924,932,944,968,937
FLT10-4,flint,09/06/2021,12:12:51,963,968,960,936,948,964,961,954,964,967
FLT10-3,flint,09/06/2021,12:06:44,965,955,965,961,964,969,961,962,967,959
FLT10-2,flint,09/06/2021,12:00:33,968,972,964,959,965,953,968,970,968,969
DAC3-7,dacite,09/06/2021,15:03:51,966,973,975,969,945,931,968,967,974,971
DAC3-5,dacite,09/06/2021,14:55:50,979,964,965,953,961,955,976,969,963,929
DAC3-4,dacite,09/06/2021,14:50:33,955,961,956,972,970,968,971,967,968,966
DAC3-3,dacite,09/06/2021,14:46:07,967,970,953,964,963,967,971,963,963,968
DAC3-2,dacite,09/06/2021,14:40:31,940,938,919,962,946,944,865,907,950,954
DAC3-1,dacite,09/06/2021,14:37:10,971,956,948,968,957,963,965,963,962,959
